0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,
0,19,19,20,20,20,21,21,21,22,22,22,23,23,23,24,24,25,25,26,26,27,27,28,29,30,30,31,32,33,34,34,36,37,37,38,39,39,41,42,44,45,50,50,50,50,50,50,50,50,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,99,
1,19,19,19,20,20,20,21,21,21,22,22,22,23,23,23,24,24,25,25,26,26,27,28,29,29,30,30,31,32,33,34,35,36,36,37,38,39,40,41,43,44,49,49,49,49,49,49,49,49,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,
2,19,19,19,19,20,20,20,21,21,21,21,22,22,23,23,23,24,24,25,25,26,27,27,28,29,29,30,30,31,32,33,34,35,36,36,37,38,39,40,42,43,48,48,48,48,48,48,48,48,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,
3,18,19,19,19,19,20,20,20,20,21,21,21,22,22,22,23,23,24,24,25,25,26,27,27,28,28,29,30,31,31,33,33,34,35,35,36,38,38,39,41,42,47,47,47,47,47,47,47,47,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,
4,18,18,19,19,19,19,20,20,20,20,21,21,21,22,22,22,23,23,24,24,25,26,26,27,27,28,28,29,30,31,32,33,33,34,34,35,37,38,38,40,41,46,46,46,46,46,46,46,46,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,
5,18,18,18,18,19,19,19,19,20,20,20,21,21,21,21,22,22,23,24,24,25,25,25,26,26,27,28,28,29,30,31,32,32,33,33,34,36,37,37,39,40,45,45,45,45,45,45,45,45,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,
6,17,18,18,18,18,18,19,19,19,20,20,20,20,21,21,22,22,23,23,24,24,24,25,25,26,26,27,28,29,30,30,31,31,32,32,33,35,36,37,38,39,44,44,44,44,44,44,44,44,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,
7,17,17,17,18,18,18,18,19,19,19,19,20,20,20,21,21,22,22,23,23,23,24,24,25,25,26,26,27,28,29,30,30,31,31,32,33,34,35,37,37,38,43,43,43,43,43,43,43,43,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,
8,17,17,17,17,18,18,18,18,19,19,19,19,20,20,21,21,21,22,22,22,23,23,24,24,25,25,26,27,28,28,29,29,30,30,31,32,33,34,36,36,37,42,42,42,42,42,42,42,42,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,
9,16,17,17,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,21,22,22,23,23,24,24,25,25,26,27,28,28,29,29,29,30,31,32,33,35,35,36,41,41,41,41,41,41,41,41,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,
