0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,
0,25,25,26,26,26,27,27,28,29,30,31,31,32,32,33,34,35,37,38,38,39,39,41,41,44,45,50,50,50,50,50,50,50,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,24,25,25,25,26,26,27,28,29,30,30,31,31,32,32,33,35,36,37,37,38,38,40,40,43,44,49,49,49,49,49,49,49,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,24,24,25,25,25,26,27,28,28,29,29,30,30,31,32,33,35,35,36,36,37,38,39,39,42,43,48,48,48,48,48,48,48,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,23,24,24,25,25,26,27,27,28,28,29,29,30,30,31,32,34,35,35,35,36,37,38,38,41,42,47,47,47,47,47,47,47,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,23,23,24,24,25,26,26,27,27,28,28,29,29,30,31,32,33,34,34,35,35,37,37,38,40,46,46,46,46,46,46,46,46,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,23,23,24,24,25,25,26,26,26,27,27,28,28,29,30,32,32,33,33,34,34,36,36,37,39,45,45,45,45,45,45,45,45,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,22,23,24,24,24,25,25,25,26,26,27,27,28,29,30,31,32,32,32,33,34,35,35,38,39,44,44,44,44,44,44,44,44,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,22,23,23,24,24,24,25,25,25,26,26,27,28,29,30,30,31,31,32,32,34,34,35,37,38,43,43,43,43,43,43,43,43,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,22,22,23,23,23,24,24,24,25,25,26,26,27,28,29,29,30,30,31,31,33,33,34,36,37,42,42,42,42,42,42,42,42,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,22,22,22,22,23,23,23,24,24,25,25,26,27,28,28,29,29,30,30,31,32,32,33,35,36,41,41,41,41,41,41,41,41,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,21,21,21,22,22,23,23,23,24,24,25,26,27,27,28,28,28,29,29,31,31,32,34,34,35,40,40,40,40,40,40,40,40,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,20,21,21,21,22,22,22,23,24,24,25,26,26,26,27,27,28,28,29,30,30,31,33,33,39,39,39,39,39,39,39,39,39,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,20,20,21,21,21,22,22,23,23,24,25,25,25,26,26,26,27,28,29,29,30,30,32,33,38,38,38,38,38,38,38,38,38,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,20,20,20,21,21,22,22,23,23,23,24,24,25,25,25,26,26,28,28,28,29,29,31,32,37,37,37,37,37,37,37,37,37,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,19,20,20,21,21,21,22,22,23,23,23,24,24,24,25,25,27,27,27,28,28,30,30,31,36,36,36,36,36,36,36,36,36,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,19,20,20,20,21,21,21,22,22,22,23,23,23,23,24,25,26,26,27,27,27,29,29,30,35,35,35,35,35,35,35,35,35,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,19,19,20,20,20,20,21,21,21,22,22,22,22,23,24,25,25,25,26,26,27,28,29,34,34,34,34,34,34,34,34,34,34,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
